,Category,Link,Content
0,political,https://en.setopati.com/political/160818,"Rastriya Swatantra Party (RSP) has removed Dhaka Kumar Shrestha from lawmaker and party member after the audio recording of a phone conversation alleged to be between him and businessman Durga Prasai.
The party’s central committee meeting held on Wednesday has decided to punish Shrestha after audio recording of him purportedly demanding Rs 20 million from promoter of B&C Medical College Durga Prasai was made public.
Talking to reporters after the meeting RSP President Lamichhane said that Shrestha was removed after finding enough grounds to punish him despite him denying that the voice on the audio was not his.
Kapurbot Media on Sunday had published audio recording of what it claims is the deal between Shrestha and Prasai.
Shrestha, who was elected to the House of Representatives (HoR) through the Proportional Representation electoral system, can be heard telling Prasai that the amount was needed to give to RSP President Rabi Lamichhane’s men for Shrestha to become health minister.
The conversation took place at the start of January, as Prasai informs in the audio, when RSP was negotiating in the then ruling coalition also including CPN-UML to get the Health Ministry. Shrestha can be heard telling Prasai that Lamichhane would make him heath minister only if he hands over Rs 20-25 million to Lamichhane's men.
Lamichhane also revealed that Shrestha threatened the party’s discipline committee to finish RSP if he were punished. “He has been repeatedly changing his version. His guilt was proven also because the audio was recorded in January. He was allowed to present his version (in the party) repeatedly,” Lamichhane stated. “He also wished that he were not removed but also warned that he would show the party if he were punished.”
He claimed that he did not know who Shrestha was referring to as his men in the ‘core team’ in the audio recording. “Why not punish if facts are uncovered about the core team? He has now come to one level of bargaining. What should be known is we will assist the CIAA,” Lamichhane stressed.
Lamichhane added that Shrestha had the option of appealing with the party if he were not satisfied with the decision to punish him.
The party had suspended Shrestha immediately after the audio recording was made public and instructed the central discipline and conduct committee to investigate facts about the telephone conversation and submit the report to the central committee within three days.
RSP has also decided to send acid attack victim Bindabasini Kansakar as HoR member through the PR electoral system to replace Shrestha."
1,political,https://en.setopati.com/political/160818,"Rastriya Swatantra Party (RSP) has removed Dhaka Kumar Shrestha from lawmaker and party member after the audio recording of a phone conversation alleged to be between him and businessman Durga Prasai.
The party’s central committee meeting held on Wednesday has decided to punish Shrestha after audio recording of him purportedly demanding Rs 20 million from promoter of B&C Medical College Durga Prasai was made public.
Talking to reporters after the meeting RSP President Lamichhane said that Shrestha was removed after finding enough grounds to punish him despite him denying that the voice on the audio was not his.
Kapurbot Media on Sunday had published audio recording of what it claims is the deal between Shrestha and Prasai.
Shrestha, who was elected to the House of Representatives (HoR) through the Proportional Representation electoral system, can be heard telling Prasai that the amount was needed to give to RSP President Rabi Lamichhane’s men for Shrestha to become health minister.
The conversation took place at the start of January, as Prasai informs in the audio, when RSP was negotiating in the then ruling coalition also including CPN-UML to get the Health Ministry. Shrestha can be heard telling Prasai that Lamichhane would make him heath minister only if he hands over Rs 20-25 million to Lamichhane's men.
Lamichhane also revealed that Shrestha threatened the party’s discipline committee to finish RSP if he were punished. “He has been repeatedly changing his version. His guilt was proven also because the audio was recorded in January. He was allowed to present his version (in the party) repeatedly,” Lamichhane stated. “He also wished that he were not removed but also warned that he would show the party if he were punished.”
He claimed that he did not know who Shrestha was referring to as his men in the ‘core team’ in the audio recording. “Why not punish if facts are uncovered about the core team? He has now come to one level of bargaining. What should be known is we will assist the CIAA,” Lamichhane stressed.
Lamichhane added that Shrestha had the option of appealing with the party if he were not satisfied with the decision to punish him.
The party had suspended Shrestha immediately after the audio recording was made public and instructed the central discipline and conduct committee to investigate facts about the telephone conversation and submit the report to the central committee within three days.
RSP has also decided to send acid attack victim Bindabasini Kansakar as HoR member through the PR electoral system to replace Shrestha."
2,political,https://en.setopati.com/political/160836,"CPN (Unified Socialist) Chief Whip Met Mani Chaudhary has said that CPN (Maoist Center), CPN (Unified Socialist) and Janata Samajwadi Party (JSP) will soon form a front.
Talking to journalists after the House of Representatives meeting on Sunday, Chaudhary said that Maoist Center, Unified Socialist and JSP will form a front within 15 days.
He said that party unification is also possible if the front moves ahead in a positive direction.
Chaudhary said that they are working on party building and party unification."
3,political,https://en.setopati.com/political/160835,"CPN-UML Chairman is suffering from fever and has not been able to attend election programs for the by-election to be held in three House of Representatives (HoR) constituencies on April 23.
“I am on antibiotics and taking rest at my residence now. I wished to participate in the election campaigns of our party’s candidates for by-election to be held in Tanahu, Chitwan and Bara on April 23. But I have not been able to attend those programs now,” Oli has posted on the social media.
Oli has said that he will go to meet voters of those constituencies in appropriate time once he recovers."
4,political,https://en.setopati.com/political/160833,"Narayan Prakash (NP) Saud has been sworn in as foreign minister.
President Ram Chandra Paudel administered the oath of office and secrecy to Saud at the Sheetal Niwas on Sunday afternoon.
Prime Minister Pushpa Kamal Dahal, Speaker Devraj Ghimire, Vice-president Ram Sahay Prasad Yadav, National Assembly Chairman Ganesh Timilsina and other leaders also attended the swearing-in ceremony.
The newly-appointed foreign minister will assume office from Sunday itself.
Saud is a central member of Nepali Congress (NC).
NC Vice-President Purna Bahadur Khadka (deputy prime minister and defense minister), spokesperson Prakash Sharan Mahat (finance minister), Ramesh Rijal (industry minister) and Sita Gurung (urban development) have already been appointed ministers from the party.
NC had got eight ministers in the sharing of portfolios among the ruling coalition partners.
Meanwhile, Nanda Chapain of CPN (Unified Socialist) has been appointed minister of state for physical infrastructure.
PM Dahal administered the oath of office and secrecy to Chapain during the swearing-in ceremony at the Sheetal Niwas on Sunday.
Chapain is a member of the National Assembly.
Prakash Jwala of Unified Socialist is the minister for physical infrastructure."
5,political,https://en.setopati.com/political/160832,"Prime Minister Pushpa Kamal Dahal is planning to visit India in the first week of May.
According to a source at Baluwatar, Indian Ambassador to Nepal Naveen Srivastava handed Indian Prime Minister Narendra Modi’s invitation for India visit to PM Dahal a few days ago.
The source said that homework is being done for Daha’s visit planned for the first week of May, but added that the date has yet to be finalized.
This will be Dahal’s first foreign visit after his appointment as prime minister for a third time on December 25, 2022."
6,political,https://en.setopati.com/political/160831,"Prime Minister (PM) Pushpa Kamal Dahal will expand the Cabinet on Sunday.
PM Dahal will again expand the Cabinet on Sunday after Nepali Congress (NC) wrote to appoint its central member NP Saud as foreign minister. PM Dahal has already written to the President’s Office about that and the latter is preparing to swear Saud in later Sunday afternoon.
NC President Sher Bahadur Deuba sent four ministers from his faction led by Purna Bahadur Khadka as deputy PM and defense minister when PM Dahal expanded the Cabinet on March 31. Prakash Sharan Mahat (Finance), Ramesh Rijal (Industry) and Sita Gurung (Urban Development) were the other ministers from NC. Saud is also from Deuba’s faction.
NC has not been able to finalize the name of the remaining four ministers with the Shekhar Koirala faction refusing to give names if it were not given at least three ministers.
Deuba has now asked the Koirala faction to pick three ministers and a state minister as the grand old party now looks set to get nine ministers and a state minister with Janamat Party unlikely to join the government.
Janamat Party left the government after not getting the Ministry of Commerce, Supply and Industry. Abdul Khan, who was overseeing the Ministry of Water Supply, resigned just before PM Dahal expanded the Cabinet on March 31."
7,political,https://en.setopati.com/political/160827,"Garbage at the Singha Durbar, the Shital Niwas and residence of the prime minister remain unpicked for the sixth day on instruction of Mayor of Kathmandu Metropolitan City (KMC) Balen Shah.
Manager of Paribartan Nepal, that picks garbage from the Singha Durbar, Mitra Ghimire told Setopati that garbage remained unpicked even on Friday due to instruction of Mayor Shah. “We cannot pick garbage until instructed by the KMC to do so,” Ghimire stated.
“Garbage of Singha Durbar will not be picked from today. Leaders there will have to be dumped at Sisdole if the country really has to be cleaned,” Shah had posted on Facebook Saturday to inform about stopping garbage collection.
Taking to Facebook again on Monday Shah blamed the federal government for lack of coordination with the local government despite his continuous efforts for nine months. “The conclusion until now of the disregard, irresponsibility and negligence toward the repeated efforts made is the decision to not collect garbage from the Singha Durbar,” Shah has posted.
KMC Spokesperson Navin Manandhar told Setopati that garbage would not be picked from the Singha Durbar until the federal government summons the KMC for dialogue.
The federal government took exception to Shah’s expression to ‘dump at Sisdole’ and act of stopping garbage collection from the Singha Durbar, and decided to seriously draw his attention to that.
Taking to the social media again on Thursday, Shah stated that Kathmanduites would not have any problem even if the federal capital or the Singha Durbar were shifted from Kathmandu.
“Either you work for the interest of Kathmandu or shift Singha Durbar to another local body. We Kathmanduites don’t have any problem whether you shift Singha Durbar or capital,” Shah posted."
8,political,https://en.setopati.com/political/160824,"Govinda Raj Joshi and his son Deepak Raj have held talks with Rastriya Swatantra Party (RSP) President Rabi Lamichhane and other leaders.
Joshi’s father-son duo met with Lamichhane and other RSP leaders at Siddhartha Hotel along the Prithvi Highway in Chumlingtar, Chitwan on Thursday morning.
An RSP central member told Setopati that they held talks on the April 23 by-election and other matters with Joshi’s group.
“They have given word for unconditional support to our candidate Swarnim Wagle in Tanahun-1 in the by-election,” the RSP central member said.
Joshi is a former joint general secretary of Nepali Congress (NC). The party had taken disciplinary action against him four years ago after he was accused of playing a role in NC candidate Ram Chandra Paudel’s defeat in Tanahun-1 in the 2017 general election. NC, however, withdrew its disciplinary action against Joshi on April 2.
NC President Sher Bahadur Deuba then held talks with Joshi’s son Deepak Raj at Dhumbarahi and suggested that they should join hands and move ahead together.
But Joshi, issuing a statement on Wednesday, announced that talks with NC have ended for this phase. He accused NC of dillydallying and ambiguous talk.
Joshi’s meeting with RSP leaders comes on the heels of failed talks with NC.
RSP has fielded Wagle as its candidate for the April 23 by-election in Tanahun-1.
Joshi himself had contested the November 20 general election from Tanahun-1. He received 6,878 votes but lost to Ram Chandra Paudel.
Joshi’s group has not fielded any candidate for the by-election. Expelled NC leaders are still active in politics in Tanahun calling themselves NC (Independent Group) and NC (BP Society), and still use the flag of NC.
Deepak Raj had run for mayor of Vyas Municipality in last year’s local election. CPN-UML had also supported him. He received 11,826 votes.
Deepak Raj claimed that they did not talk about the by-election during the meeting with the RSP group led by Lamichhane.
“Swarnim is a friend, we met as friends,” Deepak Raj said. “There wasn’t really much talk about the by-election.”
He said that they have even issued a statement urging Tanahun’s voters to use their discretion when casting their ballots.
“We haven’t fielded our official candidate. We are independent in Tanahun as we are not members of any particular party,” the statement says. “We also urge our well-wishers to vote and elect a candidate who is capable, intellectual and who can uphold Tanahun’s prestige in Nepali politics.”
NC has fielded Govinda Bhattarai in Tanahun-1 while UML has fielded Sarbendra Khanal."
9,political,https://en.setopati.com/political/160823,"Nepali Congress (NC) President Sher Bahadur Deuba has agreed to give three ministers and a state minister to the faction of Shekhar Koirala.
The ruling coalition had decided to give eight ministries to the grand old party in the Cabinet of Prime Minister (PM) Pushpa Kamal Dahal.
Deuba sent four ministers from his faction led by Purna Bahadur Khadka as deputy PM and defense minister when PM Dahal expanded the Cabinet on March 31. Prakash Sharan Mahat (Finance), Ramesh Rijal (Industry) and Sita Gurung (Urban Development) were the other ministers from NC.
NC has not been able to finalize the name of the remaining four ministers with the Koirala faction refusing to give names if it were not given at least three ministers.
Deuba has now asked the Koirala faction to pick three ministers and a state minister.
The faction held a meeting at Koirala’s secretariat Thursday morning where the leaders agreed to pick the ministers as per the standard set by the central working committee to send at least one minister from each of the seven provinces.
“We took a stand demanding at least three ministers from the anti-establishment faction when NC got eight ministries. The party now looks set to get nine ministers and a state minister after Janamat Party doesn’t seem likely to join the government,” a lawmaker who attended the meeting told Setopati. “We will pick three ministers and a state minister and give the names to president.”
Janamat Party left the government after not getting the Ministry of Commerce, Supply and Industry. Abdul Khan, who was overseeing the Ministry of Water Supply, resigned just before PM Dahal expanded the Cabinet on March 31."
