,Unnamed: 0,Category,Link,News
0,0,political,https://en.setopati.com/political/160842,Janata Samajwadi Party JSP Chairman Upendra Yadav lost Janamat Party Chairman CK Raut House Representatives HoR constituency Saptari2 November 2022 may suffer hands Raut byelection Bara2 battle waning preeminent force Madhes JSP rising force Janamat Party hopes one day overtake JSP strongest party plains Raut recognizing party directly compete JSP wishes become major force Madhes ushered Shiv Chandra Kushwaha Janamat Party CPN Maoist Center defeat Yadav byelection Bara2 Many say JSP Chairman Yadav made confidant Ram Sahay Prasad Yadav elected Bara2 vicepresident contest byelection constituency big population Yadavs JSP strong organization Setopati reached wards constituency includes three municipalities two rural municipalities talked 560 voters upcoming byelection preferred partiescandidates reasons preference important issues among things constituency includes whole Mahagadhimai Pachrauta municipalities Suvarna Devtal Karaiyamai rural municipalities Ward Number 8 Kolhabi Municipality 30004000 around 125000 voters constituency hill origin Yadavs constitute biggest community Pachpaunia community also includes Janamat Party candidate Kushwaha second biggest community constituency also includes Madhesi Dalits Tharus Muslims whopping 199 355 560 voters Setopati talked said would vote Kushwaha—who secured 13823 votes contesting common coalition candidate Maoist ticket lost Ram Sahay Prasad Yadav 355 votes November election—while 161 287 said would vote Upendra Yadav Sixtytwo 11 said would vote Ramesh Kharel Rastriya Swatantra Party RSP 59 105 pledged vote Purushottam Paudel CPNUML meaning two would close fight third position Thirtyone 55 said would vote Arun Gyawali Janata Party led Prabhu Sah 48 85 voters said yet decide vote Janamat Party seems set attract votes JSP constituency Fiftyeight 199 pledged vote Kushwaha said voted JSP November 27 said voted CPN Maoist Center 18 independent candidates 11 voted November due different reasons Similarly 16 pledged vote Janamat Party despite affiliated Nepali Congress NC Ninetyfour 161 pledged vote Upendra Yadav said voted JSP also November 17 said voted independent candidates Twentyeight said supported NC would vote Yadav common coalition candidate nine said supported Maoist Center would vote Yadav reason Four said would vote Yadav despite supporting UML six said voted November due different reasons JSP also seems leaking votes RSP fielded Ramesh Kharel resigned post DIG Nepal Police made name serving SP Parsa district past Kharel campaigning SP Kharel capitalize goodwill voters also said would vote due RSP President Rabi Lamichhane Sixteen 62 pledged vote RSP’s Kharel said voted JSP November six firsttime voters Nine said would vote Kharel despite NC supporters three UML supporters also pledged vote 59 voters pledged vote UML candidate Paudel said would vote support UML shows hard UML supported Ram Sahay Prasad Yadav constituency November attract voters parties even looks set leak votes Janamat Party RSP even JSP mean Upendra Yadav definitely lose Kushwaha elected voting takes place week later voters may swing intervening period fact Yadav looks behind race Bara2 remains JSP stronghold party organization constituency matter grave concern Yadav JSP’s Ram Sahay Prasad Yadav defeated common coalition candidate Kushwaha supported NC JSP also largest party constituency basis Proportional Representation PR electoral system votes securing 13242 votes NC second 11179 followed UML 9193 Janamat Party 8846 Loktantrik Samajwadi Party LSP 4225 Maoist Center 3256 Upendra Yadav also support NC LSP Maoist Center common candidate ruling coalition together secured 31902 PR votes November also support Ram Kishore Yadav secured 11043 votes contesting independent candidate quitting JSP Bara2 Rabindra Prasad Yadav secured 10750 votes contesting rebel NC candidate Upendra Yadav seems trailing Kushwaha despite main reason Upendra Yadav contesting Kushwaha Raut defeated Saptari appears rematch November contest Many voters Setopati talked said Raut Upendra Yadav set close fight despite Raut contesting election Raut’s magic seems work youths women impoverished people Dalits Aware defeating Upendra Yadav Bara2 establish prominent leader Madhes Raut staying Bara recent times visited wards constituency tea voters talked sharing woes happiness Upendra Yadav also based constituency contrast Raut cannot starker Yadav visits motorcade communicating directly voters never forte Yadav neither talk eyes laugh gay abandon Many voters complain listen grievances Yadav also suffers disadvantage trying become HoR member backdoor five months resounding defeat Saptari engineering election confidant Ram Sahay Prasad Yadav country’s vicepresident Many point exercised patience waited five years always faced accusation continuously changing constituency Yadav—who lost NC’s Girija Prasad Koirala Sunsari5 UML ticket first parliamentary election restoration democracy 1990 later joined Maoist party—rose messiah Madhes following Madhes Movement triggered torching Interim Constitution Maitighar Mandala day promulgated January 15 2007 founder political advocacy movement named Madhesi Janadhikar Forum next Madhes Movement forced Koirala sign agreement accepting federalism Yadav turned organization political party emerged fourth largest party Maoists NC UML following First Constituent Assembly CA Election 2008 elected First Constituent Assembly CA Election 2008 Morang Sunsari districts lost Morang Sunsari Second CA Election 2013 contested Saptari2 includes Mahadeva Rural Municipality born 2017 search safe seat lost Raut even safe constituency recent election taken caravan Bara2 suffers malaise took Saptari Many voters complain done anything people Madhes despite continuously becoming lawmaker minister past 15 years used politics means get government fact Raut roped Kushwaha Maoist Center defeat Upendra Yadav also seems working Yadav Janamat Party candidate looking set add votes top looks set amass owing charisma popularity Raut Upendra Yadav also looks set struggle attract votes second largest party constituency NC despite grand old party officially supporting attract many NC votes register narrow win Kushwaha
1,1,political,https://en.setopati.com/political/160842,Janata Samajwadi Party JSP Chairman Upendra Yadav lost Janamat Party Chairman CK Raut House Representatives HoR constituency Saptari2 November 2022 may suffer hands Raut byelection Bara2 battle waning preeminent force Madhes JSP rising force Janamat Party hopes one day overtake JSP strongest party plains Raut recognizing party directly compete JSP wishes become major force Madhes ushered Shiv Chandra Kushwaha Janamat Party CPN Maoist Center defeat Yadav byelection Bara2 Many say JSP Chairman Yadav made confidant Ram Sahay Prasad Yadav elected Bara2 vicepresident contest byelection constituency big population Yadavs JSP strong organization Setopati reached wards constituency includes three municipalities two rural municipalities talked 560 voters upcoming byelection preferred partiescandidates reasons preference important issues among things constituency includes whole Mahagadhimai Pachrauta municipalities Suvarna Devtal Karaiyamai rural municipalities Ward Number 8 Kolhabi Municipality 30004000 around 125000 voters constituency hill origin Yadavs constitute biggest community Pachpaunia community also includes Janamat Party candidate Kushwaha second biggest community constituency also includes Madhesi Dalits Tharus Muslims whopping 199 355 560 voters Setopati talked said would vote Kushwaha—who secured 13823 votes contesting common coalition candidate Maoist ticket lost Ram Sahay Prasad Yadav 355 votes November election—while 161 287 said would vote Upendra Yadav Sixtytwo 11 said would vote Ramesh Kharel Rastriya Swatantra Party RSP 59 105 pledged vote Purushottam Paudel CPNUML meaning two would close fight third position Thirtyone 55 said would vote Arun Gyawali Janata Party led Prabhu Sah 48 85 voters said yet decide vote Janamat Party seems set attract votes JSP constituency Fiftyeight 199 pledged vote Kushwaha said voted JSP November 27 said voted CPN Maoist Center 18 independent candidates 11 voted November due different reasons Similarly 16 pledged vote Janamat Party despite affiliated Nepali Congress NC Ninetyfour 161 pledged vote Upendra Yadav said voted JSP also November 17 said voted independent candidates Twentyeight said supported NC would vote Yadav common coalition candidate nine said supported Maoist Center would vote Yadav reason Four said would vote Yadav despite supporting UML six said voted November due different reasons JSP also seems leaking votes RSP fielded Ramesh Kharel resigned post DIG Nepal Police made name serving SP Parsa district past Kharel campaigning SP Kharel capitalize goodwill voters also said would vote due RSP President Rabi Lamichhane Sixteen 62 pledged vote RSP’s Kharel said voted JSP November six firsttime voters Nine said would vote Kharel despite NC supporters three UML supporters also pledged vote 59 voters pledged vote UML candidate Paudel said would vote support UML shows hard UML supported Ram Sahay Prasad Yadav constituency November attract voters parties even looks set leak votes Janamat Party RSP even JSP mean Upendra Yadav definitely lose Kushwaha elected voting takes place week later voters may swing intervening period fact Yadav looks behind race Bara2 remains JSP stronghold party organization constituency matter grave concern Yadav JSP’s Ram Sahay Prasad Yadav defeated common coalition candidate Kushwaha supported NC JSP also largest party constituency basis Proportional Representation PR electoral system votes securing 13242 votes NC second 11179 followed UML 9193 Janamat Party 8846 Loktantrik Samajwadi Party LSP 4225 Maoist Center 3256 Upendra Yadav also support NC LSP Maoist Center common candidate ruling coalition together secured 31902 PR votes November also support Ram Kishore Yadav secured 11043 votes contesting independent candidate quitting JSP Bara2 Rabindra Prasad Yadav secured 10750 votes contesting rebel NC candidate Upendra Yadav seems trailing Kushwaha despite main reason Upendra Yadav contesting Kushwaha Raut defeated Saptari appears rematch November contest Many voters Setopati talked said Raut Upendra Yadav set close fight despite Raut contesting election Raut’s magic seems work youths women impoverished people Dalits Aware defeating Upendra Yadav Bara2 establish prominent leader Madhes Raut staying Bara recent times visited wards constituency tea voters talked sharing woes happiness Upendra Yadav also based constituency contrast Raut cannot starker Yadav visits motorcade communicating directly voters never forte Yadav neither talk eyes laugh gay abandon Many voters complain listen grievances Yadav also suffers disadvantage trying become HoR member backdoor five months resounding defeat Saptari engineering election confidant Ram Sahay Prasad Yadav country’s vicepresident Many point exercised patience waited five years always faced accusation continuously changing constituency Yadav—who lost NC’s Girija Prasad Koirala Sunsari5 UML ticket first parliamentary election restoration democracy 1990 later joined Maoist party—rose messiah Madhes following Madhes Movement triggered torching Interim Constitution Maitighar Mandala day promulgated January 15 2007 founder political advocacy movement named Madhesi Janadhikar Forum next Madhes Movement forced Koirala sign agreement accepting federalism Yadav turned organization political party emerged fourth largest party Maoists NC UML following First Constituent Assembly CA Election 2008 elected First Constituent Assembly CA Election 2008 Morang Sunsari districts lost Morang Sunsari Second CA Election 2013 contested Saptari2 includes Mahadeva Rural Municipality born 2017 search safe seat lost Raut even safe constituency recent election taken caravan Bara2 suffers malaise took Saptari Many voters complain done anything people Madhes despite continuously becoming lawmaker minister past 15 years used politics means get government fact Raut roped Kushwaha Maoist Center defeat Upendra Yadav also seems working Yadav Janamat Party candidate looking set add votes top looks set amass owing charisma popularity Raut Upendra Yadav also looks set struggle attract votes second largest party constituency NC despite grand old party officially supporting attract many NC votes register narrow win Kushwaha
2,2,political,https://en.setopati.com/political/160851,Cabinet revoked decision hand contract authenticating personal biological details citizens acquiring national identity card foreign company Rastriya Swatantra Party RSP President Rabi Lamichhane awarded contract Advantage International fast track home minister Cabinet meeting Monday revoked decision according minister decision revoked Home Ministry consult seek permission Law Ministry Finance Ministry awarding contract awarded per laws regulations according minister “Everything considered handing responsibility sensitive issue related national security foreign company found done decision revoked Law Ministry Finance Ministry consulted laws followed apart that” minister added issued would also investigated Lamichhane issued working procedure allowing invitation bids contract giving sevenday deadline two days sworn home minister Clause 14 Public Procurement Act requires 45day deadline inviting bids international tender law requires 15day extension first sevenday extension bids received period company awarded contract January 26 Supreme Court SC next day ruled Lamichhane ineligible become lawmaker complete process reacquire citizenship certificate became invalid acquired US citizenship Lamichhane resigned deputy prime minister home minister day
3,3,political,https://en.setopati.com/political/160850,Baburam Bhattarailed Nepal Samajwadi Party NSP decided support Nepali Congress NC candidates April 23 byelections Chitwan2 Tanahun1 party’s central executive committee meeting held Tuesday took decision Earlier NC President Sher Bahadur Deuba written Bhattarai seeking party’s support ruling coalition’s candidates byelections “The party decided support Nepali Congress candidates Chitwan2 Tanahun1 upcoming April 23 byelections holding serious discussion letter” NSP said statement issued Tuesday NC fielded Jeet Narayan Shrestha Chitwan2 Govinda Bhattarai Tanahun1 byelections
4,4,political,https://en.setopati.com/political/160847,Hearing writ petition filed Kathmandu Metropolitan City KMC’s refusal collect garbage Singha Durbar President’s Office ministers’ quarters places could held Tuesday single bench Justice Hari Krishna Karki assigned conduct preliminary hearing petition filed advocate Padam Shrestha Supreme Court SC bench find time hear petition petition registered Monday demanded Supreme Court order KMC collect garbage Singha Durbar places says KMC cannot shirk responsibility collecting garbage petition also made Prime Minister Pushpa Kamal Dahal Council Ministers defendants stating central local governments worked coordination already 10 days since KMC stopped collecting garbage Singha Durbar places KMC spokesperson Navin Manandhar said garbage collected talks government According KMC officer Mayor Balen Shah ready hold talks issue prime minister’s level “Meetings talks held different ministers nine months Shah insisting holding talks prime minister rather ministers now” officer said “He adamant issues decided prime minister’s level ministers keep changing would use talking them”
5,5,political,https://en.setopati.com/political/160845,Conflict victims police involved clash New Baneshwar Kathmandu Tuesday clash ensued conflict victims tried enter prohibited area breaking barricade Police detained 11 people following incident according conflict victims conflict victims protesting bill Investigation Enforced Disappeared Persons Truth Reconciliation Commission Third Amendment Act 2023 past 25 days held placards read “Amend bill brought provide immunity perpetrators” “Make public citizens disappeared conflicts” “Guarantee treatment injured disabled” “Return looted property” “How long lie conflict victims” among others conflict victims said continue agitation demands met pictures
6,6,political,https://en.setopati.com/political/160844,Hearing writ petition filed Kathmandu Metropolitan City KMC’s refusal collect garbage Singha Durbar President’s Office ministers’ quarters places scheduled Tuesday single bench Justice Hari Krishna Karki conduct preliminary hearing petition filed advocate Padam Shrestha Supreme Court petition registered Monday demanded Supreme Court order KMC collect garbage Singha Durbar places says KMC cannot shirk responsibility collecting garbage petition also made Prime Minister Pushpa Kamal Dahal Council Ministers defendants stating central local governments worked coordination already 10 days since KMC stopped collecting garbage Singha Durbar places KMC spokesperson Navin Manandhar said garbage collected talks government According KMC officer Mayor Balen Shah ready hold talks issue prime minister’s level “Meetings talks held different ministers nine months Shah insisting holding talks prime minister rather ministers now” officer said “He adamant issues decided prime minister’s level ministers keep changing would use talking them”
7,7,political,https://en.setopati.com/political/160843,writ petition filed Supreme Court Kathmandu Metropolitan City KMC’s refusal collect garbage Singha Durbar President’s Office ministers’ quarters According Supreme Court administration petition brought advocate Padam Shrestha registered Monday petition seeks order KMC collect garbage Singha Durbar places also says KMC cannot shirk responsibility collecting garbage petition also made Prime Minister Pushpa Kamal Dahal Council Ministers defendants stating central local governments worked coordination already nine days since KMC stopped collecting garbage Singha Durbar places KMC spokesperson Navin Manandhar said garbage collected talks government According KMC officer Mayor Balen Shah ready hold talks issue prime minister’s level “Meetings talks held different ministers nine months Shah insisting holding talks prime minister rather ministers now” officer said “He adamant issue decided prime minister’s level ministers keep changing would use talking them”
8,8,political,https://en.setopati.com/political/160842,Janata Samajwadi Party JSP Chairman Upendra Yadav lost Janamat Party Chairman CK Raut House Representatives HoR constituency Saptari2 November 2022 may suffer hands Raut byelection Bara2 battle waning preeminent force Madhes JSP rising force Janamat Party hopes one day overtake JSP strongest party plains Raut recognizing party directly compete JSP wishes become major force Madhes ushered Shiv Chandra Kushwaha Janamat Party CPN Maoist Center defeat Yadav byelection Bara2 Many say JSP Chairman Yadav made confidant Ram Sahay Prasad Yadav elected Bara2 vicepresident contest byelection constituency big population Yadavs JSP strong organization Setopati reached wards constituency includes three municipalities two rural municipalities talked 560 voters upcoming byelection preferred partiescandidates reasons preference important issues among things constituency includes whole Mahagadhimai Pachrauta municipalities Suvarna Devtal Karaiyamai rural municipalities Ward Number 8 Kolhabi Municipality 30004000 around 125000 voters constituency hill origin Yadavs constitute biggest community Pachpaunia community also includes Janamat Party candidate Kushwaha second biggest community constituency also includes Madhesi Dalits Tharus Muslims whopping 199 355 560 voters Setopati talked said would vote Kushwaha—who secured 13823 votes contesting common coalition candidate Maoist ticket lost Ram Sahay Prasad Yadav 355 votes November election—while 161 287 said would vote Upendra Yadav Sixtytwo 11 said would vote Ramesh Kharel Rastriya Swatantra Party RSP 59 105 pledged vote Purushottam Paudel CPNUML meaning two would close fight third position Thirtyone 55 said would vote Arun Gyawali Janata Party led Prabhu Sah 48 85 voters said yet decide vote Janamat Party seems set attract votes JSP constituency Fiftyeight 199 pledged vote Kushwaha said voted JSP November 27 said voted CPN Maoist Center 18 independent candidates 11 voted November due different reasons Similarly 16 pledged vote Janamat Party despite affiliated Nepali Congress NC Ninetyfour 161 pledged vote Upendra Yadav said voted JSP also November 17 said voted independent candidates Twentyeight said supported NC would vote Yadav common coalition candidate nine said supported Maoist Center would vote Yadav reason Four said would vote Yadav despite supporting UML six said voted November due different reasons JSP also seems leaking votes RSP fielded Ramesh Kharel resigned post DIG Nepal Police made name serving SP Parsa district past Kharel campaigning SP Kharel capitalize goodwill voters also said would vote due RSP President Rabi Lamichhane Sixteen 62 pledged vote RSP’s Kharel said voted JSP November six firsttime voters Nine said would vote Kharel despite NC supporters three UML supporters also pledged vote 59 voters pledged vote UML candidate Paudel said would vote support UML shows hard UML supported Ram Sahay Prasad Yadav constituency November attract voters parties even looks set leak votes Janamat Party RSP even JSP mean Upendra Yadav definitely lose Kushwaha elected voting takes place week later voters may swing intervening period fact Yadav looks behind race Bara2 remains JSP stronghold party organization constituency matter grave concern Yadav JSP’s Ram Sahay Prasad Yadav defeated common coalition candidate Kushwaha supported NC JSP also largest party constituency basis Proportional Representation PR electoral system votes securing 13242 votes NC second 11179 followed UML 9193 Janamat Party 8846 Loktantrik Samajwadi Party LSP 4225 Maoist Center 3256 Upendra Yadav also support NC LSP Maoist Center common candidate ruling coalition together secured 31902 PR votes November also support Ram Kishore Yadav secured 11043 votes contesting independent candidate quitting JSP Bara2 Rabindra Prasad Yadav secured 10750 votes contesting rebel NC candidate Upendra Yadav seems trailing Kushwaha despite main reason Upendra Yadav contesting Kushwaha Raut defeated Saptari appears rematch November contest Many voters Setopati talked said Raut Upendra Yadav set close fight despite Raut contesting election Raut’s magic seems work youths women impoverished people Dalits Aware defeating Upendra Yadav Bara2 establish prominent leader Madhes Raut staying Bara recent times visited wards constituency tea voters talked sharing woes happiness Upendra Yadav also based constituency contrast Raut cannot starker Yadav visits motorcade communicating directly voters never forte Yadav neither talk eyes laugh gay abandon Many voters complain listen grievances Yadav also suffers disadvantage trying become HoR member backdoor five months resounding defeat Saptari engineering election confidant Ram Sahay Prasad Yadav country’s vicepresident Many point exercised patience waited five years always faced accusation continuously changing constituency Yadav—who lost NC’s Girija Prasad Koirala Sunsari5 UML ticket first parliamentary election restoration democracy 1990 later joined Maoist party—rose messiah Madhes following Madhes Movement triggered torching Interim Constitution Maitighar Mandala day promulgated January 15 2007 founder political advocacy movement named Madhesi Janadhikar Forum next Madhes Movement forced Koirala sign agreement accepting federalism Yadav turned organization political party emerged fourth largest party Maoists NC UML following First Constituent Assembly CA Election 2008 elected First Constituent Assembly CA Election 2008 Morang Sunsari districts lost Morang Sunsari Second CA Election 2013 contested Saptari2 includes Mahadeva Rural Municipality born 2017 search safe seat lost Raut even safe constituency recent election taken caravan Bara2 suffers malaise took Saptari Many voters complain done anything people Madhes despite continuously becoming lawmaker minister past 15 years used politics means get government fact Raut roped Kushwaha Maoist Center defeat Upendra Yadav also seems working Yadav Janamat Party candidate looking set add votes top looks set amass owing charisma popularity Raut Upendra Yadav also looks set struggle attract votes second largest party constituency NC despite grand old party officially supporting attract many NC votes register narrow win Kushwaha
9,9,political,https://en.setopati.com/political/160839,meeting three big political parties decided initiate process appointing chief justice CJ meeting Prime Minister PM CPN Maoist Center Chairman Pushpa Kamal Dahal Nepali Congress NC President Sher Bahadur Deuba CPNUML Chairman KP Sharma Oli held Oli residence Balkot Monday decided soon convene meeting Constitutional Council initiate process appointing CJ according NC Chief Whip Ramesh Lekhak said leaders urged PM Dahal initiate process appointing CJ pointing Supreme Court SC long headed acting CJ main opposition leader Oli agreed initiate process Lekhak added top leaders also discussed concluding issue bill transitional justice Dahal government registered bill amendment Investigation Enforced Disappeared Persons Truth Reconciliation Commission Act 2014 House
